Year,State,District,SO2,NO2,RSPM/PM10
2011,Odisha,Bhubaneswar,2.0,21.9,125.0
2011,Odisha,Bhubaneswar,2.0,21.2,124.0
2011,Odisha,Bhubaneswar,2.0,21.8,114.0
2011,Odisha,Bhubaneswar,2.0,22.5,101.0
2011,Odisha,Bhubaneswar,2.0,20.4,121.0
2011,Odisha,Bhubaneswar,2.0,19.5,97.0
2011,Odisha,Bhubaneswar,2.0,20.4,114.0
2011,Odisha,Bhubaneswar,2.0,21.3,127.0
2011,Odisha,Bhubaneswar,2.0,20.8,133.0
2011,Odisha,Bhubaneswar,2.0,21.6,130.0
2011,Odisha,Bhubaneswar,2.0,23.4,119.0
2011,Odisha,Bhubaneswar,2.0,21.4,117.0
2011,Odisha,Bhubaneswar,2.0,22.0,107.0
2011,Odisha,Bhubaneswar,2.0,23.2,109.0
2011,Odisha,Bhubaneswar,2.0,23.7,116.0
2011,Odisha,Bhubaneswar,2.0,21.8,113.0
2011,Odisha,Bhubaneswar,2.0,22.3,124.0
2011,Odisha,Bhubaneswar,2.0,21.3,122.0
2011,Odisha,Bhubaneswar,2.0,19.8,109.0
2011,Odisha,Bhubaneswar,2.0,20.1,104.0
2011,Odisha,Bhubaneswar,2.0,19.9,86.0
2011,Odisha,Bhubaneswar,2.0,21.5,108.0
2011,Odisha,Bhubaneswar,2.0,20.6,83.0
2011,Odisha,Bhubaneswar,2.0,20.3,74.0
2011,Odisha,Bhubaneswar,2.0,19.5,84.0
2011,Odisha,Bhubaneswar,2.0,20.5,96.0
2011,Odisha,Bhubaneswar,2.0,16.9,65.0
2011,Odisha,Bhubaneswar,2.0,18.1,74.0
2011,Odisha,Bhubaneswar,2.0,17.0,82.0
2011,Odisha,Bhubaneswar,2.0,17.5,75.0
2011,Odisha,Bhubaneswar,2.0,17.6,66.0
2011,Odisha,Bhubaneswar,2.0,18.1,71.0
2011,Odisha,Bhubaneswar,2.0,18.9,77.0
2011,Odisha,Bhubaneswar,2.0,17.0,84.0
2011,Odisha,Bhubaneswar,2.0,17.1,73.0
2011,Odisha,Bhubaneswar,2.0,18.3,85.0
2011,Odisha,Bhubaneswar,8.3,17.6,52.0
2011,Odisha,Bhubaneswar,3.2,14.2,88.0
2011,Odisha,Bhubaneswar,3.7,15.7,56.0
2011,Odisha,Bhubaneswar,2.0,13.7,69.0
2011,Odisha,Bhubaneswar,2.0,14.1,61.0
2011,Odisha,Bhubaneswar,2.0,15.9,55.0
2011,Odisha,Bhubaneswar,2.0,12.9,37.0
2011,Odisha,Bhubaneswar,2.0,9.9,39.0
2011,Odisha,Bhubaneswar,2.0,10.1,51.0
2011,Odisha,Bhubaneswar,2.0,18.7,47.0
2011,Odisha,Bhubaneswar,2.0,11.7,64.0
2011,Odisha,Bhubaneswar,2.0,13.6,41.0
2011,Odisha,Bhubaneswar,2.0,12.4,35.0
2011,Odisha,Bhubaneswar,2.0,9.2,58.0
2011,Odisha,Bhubaneswar,2.0,9.3,47.0
2011,Odisha,Bhubaneswar,2.0,9.4,42.0
2011,Odisha,Bhubaneswar,2.0,9.4,50.0
2011,Odisha,Bhubaneswar,2.0,8.6,43.0
2011,Odisha,Bhubaneswar,2.0,7.3,42.0
2011,Odisha,Bhubaneswar,2.0,4.5,31.0
2011,Odisha,Bhubaneswar,2.0,4.5,54.0
2011,Odisha,Bhubaneswar,2.0,13.3,39.0
2011,Odisha,Bhubaneswar,2.0,13.6,53.0
2011,Odisha,Bhubaneswar,2.0,17.6,43.0
2011,Odisha,Bhubaneswar,2.0,9.4,59.0
2011,Odisha,Bhubaneswar,2.0,8.4,40.0
2011,Odisha,Bhubaneswar,2.0,13.5,47.0
2011,Odisha,Bhubaneswar,4.6,11.5,51.0
