growth,growthRate,population,year,District
23142,0.0480819774653389,504445,1995,Bhubaneshwar
24290,0.0481519293480954,528735,1996,Bhubaneshwar
25387,0.0480146008870228,554122,1997,Bhubaneshwar
26644,0.0480832740804371,580766,1998,Bhubaneshwar
27925,0.0480830489388153,608691,1999,Bhubaneshwar
29309,0.0481508680102054,638000,2000,Bhubaneshwar
26775,0.0419670846394983,664775,2001,Bhubaneshwar
20003,0.0300898800345981,684778,2002,Bhubaneshwar
20604,0.0300885834533235,705382,2003,Bhubaneshwar
21255,0.0301326089976778,726637,2004,Bhubaneshwar
21833,0.0300466395187692,748470,2005,Bhubaneshwar
22522,0.030090718398867,770992,2006,Bhubaneshwar
23198,0.0300885093489946,794190,2007,Bhubaneshwar
23931,0.0301325879197673,818121,2008,Bhubaneshwar
24582,0.0300469001529113,842703,2009,Bhubaneshwar
25357,0.0300900791856679,868060,2010,Bhubaneshwar
26120,0.03009008593876,894180,2011,Bhubaneshwar
26906,0.0300901384508711,921086,2012,Bhubaneshwar
27716,0.030090567004601,948802,2013,Bhubaneshwar
28549,0.0300895234200602,977351,2014,Bhubaneshwar
29409,0.0300905201918246,1006760,2015,Bhubaneshwar
30293,0.0300895943422463,1037053,2016,Bhubaneshwar
31205,0.0300900725420976,1068258,2017,Bhubaneshwar
32144,0.0300901093181609,1100402,2018,Bhubaneshwar
31082,0.028246040992292,1131484,2019,Bhubaneshwar
31402,0.027752933315893,1162886,2020,Bhubaneshwar
31545,0.0271264767139685,1194431,2021,Bhubaneshwar
31602,0.0264577861760118,1226033,2022,Bhubaneshwar
31609,0.0257815246408539,1257642,2023,Bhubaneshwar
31612,0.02513592898456,1289254,2024,Bhubaneshwar
31654,0.0245521828902606,1320908,2025,Bhubaneshwar
31750,0.0240364961072232,1352658,2026,Bhubaneshwar
31916,0.0235950254979455,1384574,2027,Bhubaneshwar
32134,0.0232085825676344,1416708,2028,Bhubaneshwar
32407,0.0228748620040262,1449115,2029,Bhubaneshwar
32693,0.0225606663377302,1481808,2030,Bhubaneshwar
32993,0.022265367712956,1514801,2031,Bhubaneshwar
33283,0.0219718629707796,1548084,2032,Bhubaneshwar
33568,0.0216835778937061,1581652,2033,Bhubaneshwar
33791,0.021364370923566,1615443,2034,Bhubaneshwar
33966,0.0210258114956702,1649409,2035,Bhubaneshwar
