Month,District,AverageSoilmoisture,AggregateSoilmoisture,VolumeSoilmoisture
6,Cuttack,5.71,43.02,40.36611312
6,Kandhamal,0.75,5.24,36.87612244
6,Anugul,3.76,25.85,36.98557608
6,Mayurbhanj,3.64,25.02,39.1376488
6,Ganjam,3.28,25.8,40.77363985
6,Kendrapara,6.89,56.72,39.48462912
6,Koraput,3.86,27.05,38.1445492
6,Puri,5.24,43.44,39.58204373
6,Malkangiri,1.41,11.29,38.88787161
6,Jagatsinghapur,1.79,20.01,41.63679302
6,Nayagarh,2.77,18.09,40.28706191
6,Balangir,0.41,2.79,36.50201196
6,Dhenkanal,2.57,18.19,42.68658744
6,Jajapur,6.33,42.9,41.68501752
6,Gajapati,1.64,11.68,40.60804952
6,Debagarh,1.23,8.69,34.2505723
6,Sundargarh,1.65,11.57,32.17164567
6,Rayagada,1.68,11.28,40.4011377
6,Sambalpur,1.36,9.86,34.68834904
6,Bauda,2.99,20.18,35.48121184
6,Subarnapur,1.69,13.43,37.63065442
6,Kendujhar,3.97,28.95,38.5505174
6,Kalahandi,0.45,3.25,38.61722627
6,Jharsuguda,2.21,17.99,34.71220776
6,Nuapada,0.29,2.45,34.23379843
6,Baleshwar,7.04,57.35,41.18169726
6,Bhadrak,4.45,41.76,40.90347568
6,Bargarh,0.7,5.49,36.20533828
6,Nabarangapur,1.0,9.14,37.27711024
6,Khordha,5.18,35.95,40.78156714
6,Cuttack,5.47,41.47,39.46765008
6,Kandhamal,0.23,1.69,32.9753821
6,Anugul,3.93,27.0,37.14846571
6,Mayurbhanj,3.57,24.57,38.34693146
6,Ganjam,2.25,17.89,36.80998554
6,Kendrapara,7.16,58.89,41.22319826
6,Koraput,1.6,11.43,32.99033363
6,Puri,5.15,42.88,39.60570403
6,Malkangiri,0.65,5.21,35.37526927
6,Jagatsinghapur,1.81,20.23,42.06604377
6,Nayagarh,1.07,7.43,36.43421126
6,Balangir,0.33,2.26,34.93972873
6,Dhenkanal,2.45,17.49,42.33769084
6,Jajapur,5.96,40.98,41.65058264
6,Gajapati,1.04,7.57,37.85593622
6,Debagarh,1.12,8.0,33.3586317
6,Sundargarh,1.76,12.33,32.56679351
6,Rayagada,1.25,8.53,37.58204922
6,Sambalpur,1.47,10.61,34.38491249
6,Bauda,2.55,17.24,32.97483917
6,Subarnapur,1.57,12.54,36.87459793
6,Kendujhar,3.4,25.29,36.63576891
6,Kalahandi,0.41,3.0,36.58115997
6,Jharsuguda,2.27,18.53,34.94140812
6,Nuapada,0.32,2.76,34.15092137
6,Baleshwar,7.1,57.71,41.28022521
6,Bhadrak,4.08,38.44,40.84736454
6,Bargarh,0.74,5.78,36.31479638
6,Nabarangapur,0.88,8.14,35.92226349
6,Khordha,4.07,28.57,37.96398448
6,Cuttack,5.57,42.17,40.46350252
6,Kandhamal,0.31,2.25,34.7041814
6,Anugul,3.67,25.03,36.5098147
6,Mayurbhanj,4.15,28.32,40.4007601
6,Ganjam,2.45,19.4,38.17168488
6,Kendrapara,7.61,62.57,43.79677403
6,Koraput,1.65,11.77,34.00921959
6,Puri,5.24,43.56,40.90367405
6,Malkangiri,0.8,6.26,37.65258024
6,Jagatsinghapur,1.89,21.02,44.48719903
6,Nayagarh,1.25,8.5,36.49864877
6,Balangir,0.46,3.11,36.39363249
6,Dhenkanal,2.33,16.65,42.09121586
6,Jajapur,6.08,42.07,42.56721958
6,Gajapati,0.87,6.38,37.3062776
6,Debagarh,1.24,8.68,34.36004384
6,Sundargarh,1.99,13.83,34.62901943
6,Rayagada,1.17,7.97,38.03668173
6,Sambalpur,1.57,11.26,35.97754898
6,Bauda,2.65,17.92,34.20650718
6,Subarnapur,1.55,12.32,37.84198532
6,Kendujhar,3.84,28.07,38.74642124
6,Kalahandi,0.29,2.16,37.20802077
6,Jharsuguda,2.39,19.57,37.25932726
6,Nuapada,0.44,3.48,34.96295635
6,Baleshwar,7.54,61.67,42.48790723
6,Bhadrak,4.55,42.99,42.38232477
6,Bargarh,1.21,9.8,39.3032171
6,Nabarangapur,0.89,8.25,37.32052399
6,Khordha,4.56,31.99,39.79644168
6,Cuttack,6.08,45.3,42.02170618
6,Kandhamal,1.33,9.15,39.107248
6,Anugul,4.82,32.48,39.4643111
6,Mayurbhanj,4.59,30.77,41.46952493
6,Ganjam,3.39,26.97,42.19239872
6,Kendrapara,7.64,62.84,44.07810881
6,Koraput,1.72,12.21,35.19043854
6,Puri,5.45,44.76,42.52527633
6,Malkangiri,0.81,6.13,37.77493278
6,Jagatsinghapur,1.9,21.12,45.27033033
6,Nayagarh,2.68,17.34,40.60071329
6,Balangir,0.32,2.11,36.82633632
6,Dhenkanal,2.7,18.96,43.73424565
6,Jajapur,6.31,43.47,43.19409623
6,Gajapati,1.64,11.81,41.82818994
6,Debagarh,1.92,12.86,37.29830426
6,Sundargarh,2.3,15.78,36.46739272
6,Rayagada,1.46,9.9,40.75103183
6,Sambalpur,2.58,17.77,39.48470225
6,Bauda,3.38,22.72,36.86300231
6,Subarnapur,1.52,11.91,39.7052223
6,Kendujhar,4.41,31.58,40.47163229
6,Kalahandi,0.57,4.07,39.51620091
6,Jharsuguda,2.33,18.74,37.42074784
6,Nuapada,0.62,5.26,36.36696086
6,Baleshwar,7.63,62.56,42.76680745
6,Bhadrak,4.85,46.01,43.37593247
6,Bargarh,0.91,7.23,39.938183
6,Nabarangapur,1.13,10.34,39.54278761
6,Khordha,5.54,38.4,42.10989725
6,Cuttack,5.14,39.09,40.86884053
6,Kandhamal,0.08,0.56,32.08483412
6,Anugul,2.87,19.53,36.13747789
6,Mayurbhanj,4.63,30.93,41.65162536
6,Ganjam,1.03,8.41,34.08443749
6,Kendrapara,7.62,62.65,43.95601981
6,Koraput,1.21,8.67,30.30890671
6,Puri,4.95,40.47,41.76208322
6,Malkangiri,0.29,2.48,32.28596554
6,Jagatsinghapur,1.81,20.43,45.13129758
6,Nayagarh,0.52,3.73,36.91528537
6,Balangir,0.13,0.86,31.97506338
6,Dhenkanal,2.36,16.4,43.16805309
6,Jajapur,6.34,43.51,43.18648979
6,Gajapati,0.51,3.77,34.13707886
6,Debagarh,1.01,6.93,34.99514368
6,Sundargarh,1.93,13.27,34.89198202
6,Rayagada,0.77,5.29,34.71274103
6,Sambalpur,0.85,6.18,33.09613054
6,Bauda,1.77,12.04,31.83905296
6,Subarnapur,0.96,7.72,34.04149513
6,Kendujhar,4.22,30.25,40.7397717
6,Kalahandi,0.19,1.46,33.61473941
6,Jharsuguda,1.9,15.27,32.70973396
6,Nuapada,0.12,1.14,31.96686836
6,Baleshwar,7.66,62.79,42.83830434
6,Bhadrak,4.85,45.94,43.33581859
6,Bargarh,0.44,3.42,33.99187618
6,Nabarangapur,0.79,7.4,33.31890333
6,Khordha,2.92,20.31,38.73127539
6,Cuttack,4.34,33.24,38.51395145
6,Kandhamal,0.07,0.51,31.82240313
6,Anugul,2.39,16.4,33.77439158
6,Mayurbhanj,4.23,28.38,41.09312714
6,Ganjam,1.01,8.24,33.60574815
6,Kendrapara,7.45,61.31,43.38812005
6,Koraput,1.23,8.79,30.74724779
6,Puri,4.37,35.27,38.80723462
6,Malkangiri,0.31,2.63,32.93397994
6,Jagatsinghapur,1.66,19.22,43.81721842
6,Nayagarh,0.22,1.8,34.57912836
6,Balangir,0.13,0.87,31.97811708
6,Dhenkanal,1.8,12.47,40.57975036
6,Jajapur,5.77,39.86,42.2859428
6,Gajapati,0.51,3.82,34.48206943
6,Debagarh,0.7,4.98,32.87198939
6,Sundargarh,1.69,11.83,33.45958551
6,Rayagada,0.77,5.28,35.05095708
