Type,District,waterSpread,maxDepth,storageCapacity,storageCapacityPresent
Urban,Kandhamal,0.016,2.0,200.0,100.0
Urban,Kandhamal,0.016,3.0,450.0,400.0
Urban,Kandhamal,0.18,5.0,8000.0,7000.0
Urban,Kandhamal,0.03,3.0,750.0,600.0
Urban,Koraput,0.1,3.0,1000.0,900.0
Urban,Kalahandi,0.0,4.0,25259.0,18944.0
Urban,Gajapati,0.0,3.0,7500.0,5000.0
Urban,Gajapati,0.0,3.0,4200.0,2800.0
Urban,Gajapati,0.0,3.0,8400.0,5600.0
Urban,Khurda,0.05,6.0,1900.0,1500.0
Urban,Khurda,0.08,4.0,2600.0,2000.0
Urban,Koraput,0.1,3.0,1863.0,1450.0
Urban,Koraput,0.4,3.0,7560.0,7140.0
Urban,Koraput,0.12,3.0,2958.0,2645.0
Urban,Koraput,0.14,2.0,680.0,640.0
Urban,Puri,0.2,2.0,61674.0,50273.0
Urban,Kendrapara,0.049,2.0,486.0,405.0
Urban,Puri,0.16,2.0,49339.0,38128.0
Urban,Puri,0.4,2.0,123348.0,102143.0
Urban,Gajapati,0.0,4.0,16800.0,12600.0
Urban,Sundargarh,0.214,3.0,5140.0,4890.0
Urban,Sundargarh,0.146,4.0,4280.0,3560.0
Urban,Sundargarh,0.47,3.0,10568.0,9240.0
Urban,Kalahandi,2.02,5.0,101200.0,50000.0
Urban,Sambalpur,0.004,2.0,41256.0,32541.0
Urban,Kalahandi,0.61,3.0,18458.0,9000.0
Urban,Kalahandi,2.63,5.0,131560.0,50000.0
Urban,Kalahandi,1.46,3.0,43961.0,15000.0
Urban,Kalahandi,0.08,4.0,32384.0,15000.0
Urban,Kalahandi,3.96,5.0,198352.0,60000.0
Urban,Khurda,0.22,2.0,3872.0,2650.0
Urban,Sundargarh,0.291,3.0,6120.0,5750.0
Urban,Sambalpur,0.004,2.0,41256.0,32541.0
Urban,Sambalpur,0.004,2.0,41256.0,32541.0
Urban,Gajapati,0.0,4.0,32000.0,24000.0
Urban,Gajapati,0.0,6.0,300000.0,150000.0
Urban,Gajapati,0.0,3.0,5400.0,3600.0
Urban,Sundargarh,0.08,3.0,2260.0,2150.0
Urban,Sambalpur,0.004,2.0,41526.0,35624.0
Urban,Gajapati,0.0,3.0,7200.0,4800.0
Urban,Gajapati,0.0,3.0,4800.0,3200.0
Urban,Gajapati,0.0,3.0,4200.0,2800.0
Urban,Gajapati,0.0,3.0,5400.0,3600.0
Urban,Gajapati,0.0,3.0,14700.0,9800.0
