
District,Year,SO2,NO2,RSPM/PM10,TempMax,TempMin,GeographicalArea,VeryDenseForest,ModDenseForest,OpenForest,TotalForest,PercentForest,Scrub,AverageSoilMoisture,Population,WaterSpread,MaxDepth,StorageCapacity
Angul,2012,5.0,22.0,151.0,33.7,28.0,6375,362,1350,990,2702,42.38,117,2.86,504445,0.29,2.93,21466
Balangir,2012,3.86,16.31,102.31,33.7,28.0,6575,69,222,675,966,14.69,234,0.41,504445,0.0,5.0,5000
Balasore,2012,2.0,12.0,81.0,33.7,28.0,3806,23,126,199,348,9.14,49,7.04,504445,0.2,3.0,4500
Bargarh,2012,3.86,16.31,102.31,33.7,28.0,5837,176,371,396,943,16.16,89,0.7,504445,2.67,3.0,80100
Bhadrak,2012,3.86,16.31,102.31,33.7,28.0,2505,0,7,55,62,2.48,0,4.45,504445,0.03,2.0,729
Bhubaneswar,2011,2.0,21.9,125.0,33.7,28.0,3932,44,206,521,771,19.61,74,2.86,504445,0.29,2.93,21466
Cuttack,2014,2.0,32.0,139.0,33.7,28.0,3932,44,206,521,771,19.61,74,5.71,504445,0.04,4.0,210000
Dhenkanal,2012,3.86,16.31,102.31,33.7,28.0,4452,172,346,881,1399,31.42,86,2.57,504445,0.62,2.0,12320
Gajapati,2012,3.86,16.31,102.31,33.7,28.0,4325,84,1485,902,2471,57.13,252,1.64,504445,0.0,3.0,7500
Ganjam,2012,3.86,16.31,102.31,33.7,28.0,8206,162,1089,849,2100,25.59,665,3.28,504445,0.0,3.0,102000
Jagatsinghpur,2012,3.86,16.31,102.31,33.7,28.0,1668,0,6,127,133,7.97,1,1.79,504445,0.17,3.0,2288
Jajpur,2012,3.86,16.31,102.31,33.7,28.0,2899,6,68,222,296,10.21,50,6.33,504445,0.26,2.0,5153
Jharsuguda,2012,3.86,16.31,102.31,33.7,28.0,2081,3,138,170,311,14.94,52,2.21,504445,0.4,3.0,1020
Kalahandi,2012,3.86,16.31,102.31,33.7,28.0,7920,419,777,1211,2407,30.39,356,0.45,504445,0.0,4.0,25259
Kandhamal,2012,3.86,16.31,102.31,33.7,28.0,8021,650,2620,2101,5371,66.96,320,0.75,504445,0.016,2.0,200
Kendrapara,2012,3.86,16.31,102.31,33.7,28.0,2644,82,81,106,269,10.17,6,6.89,504445,0.049,2.0,486
Keonjhar,2015,2.0,12.0,146.0,33.7,28.0,8303,303,1385,1523,3211,38.67,54,3.97,504445,0.21,2.0,4800
Khordha,2012,3.86,16.31,102.31,33.7,28.0,2813,23,187,246,456,16.21,93,5.18,504445,0.05,6.0,1900
Koraput,2012,3.86,16.31,102.31,33.7,28.0,8807,102,727,1099,1928,21.89,870,3.86,504445,0.1,3.0,1000
Malkangiri,2012,3.86,16.31,102.31,33.7,28.0,5791,157,709,1455,2321,40.08,36,1.41,504445,1.16,2.0,9000
Mayurbhanj,2012,3.86,16.31,102.31,33.7,28.0,10418,1326,1707,988,4021,38.6,35,3.64,504445,0.121,4.0,5600
Nabarangapur,2012,3.86,16.31,102.31,33.7,28.0,5291,182,460,483,1125,21.26,45,1.0,504445,0.2,3.0,6000
Nayagarh,2012,3.86,16.31,102.31,33.7,28.0,3890,186,965,531,1682,43.24,196,2.77,504445,0.45,1.0,478
Nuapada,2012,3.86,16.31,102.31,33.7,28.0,3852,86,484,670,1240,32.19,129,0.29,504445,0.92,3.0,36720
Puri,2015,2.0,11.0,43.0,33.7,28.0,3479,0,55,152,207,5.95,12,5.24,504445,0.2,2.0,61674
Rayagada,2012,3.0,22.0,63.0,33.7,28.0,7073,428,860,1845,3133,44.3,279,1.68,504445,0.3,3.0,6780
Rourkela,2012,6.0,11.0,111.0,33.7,28.0,6657,531,1729,1098,3358,50.44,47,2.86,504445,0.29,2.93,21466
Sambalpur,2012,3.0,14.5,71.33,33.7,28.0,6657,531,1729,1098,3358,50.44,47,1.36,504445,0.004,2.0,41256
Sundargarh,2012,3.86,16.31,102.31,33.7,28.0,9712,1044,1771,1333,4148,42.71,129,1.65,504445,0.214,3.0,5140
Talcher,2012,11.0,21.0,123.0,33.7,28.0,6375,362,1350,990,2702,42.38,117,2.86,504445,0.29,2.93,21466
