District,Green_Score,Priority
Angul,0.7443873015377912,High Priority
Balangir,0.22494073427118796,Low Priority
Balasore,0.1088832309179949,Low Priority
Bargarh,0.25071157865186094,Low Priority
Bhadrak,0.0,Low Priority
Bhubaneswar,0.28361185626501095,Low Priority
Cuttack,0.271056879503415,Low Priority
Dhenkanal,0.5245699335599994,Moderate Priority
Gajapati,0.8114667488068873,High Priority
Ganjam,0.4202875947471854,Moderate Priority
Jagatsinghpur,0.08470905206026418,Low Priority
Jajpur,0.09438262266446258,Low Priority
Jharsuguda,0.18088914189463223,Low Priority
Kalahandi,0.5701538569512459,Moderate Priority
Kandhamal,1.0,High Priority
Kendrapara,0.0749126610312238,Low Priority
Keonjhar,0.6891804953367235,High Priority
Khordha,0.1851859072335386,Low Priority
Koraput,0.39637075392245585,Moderate Priority
Malkangiri,0.6714651112012222,High Priority
Mayurbhanj,0.68033742474812,High Priority
Nabarangapur,0.30120441997567,Low Priority
Nayagarh,0.7578312642315719,High Priority
Nuapada,0.49117057612526943,Moderate Priority
Puri,0.05223182257712347,Low Priority
Rayagada,0.7607945506721991,High Priority
Rourkela,0.8355025109953523,High Priority
Sambalpur,0.8024911101406783,High Priority
Sundargarh,0.7598743722511626,High Priority
Talcher,0.7491012664150486,High Priority
