District,Year,State,SO2,NO2,RSPM/PM10,tempmax,tempmin,Geo-graphicalArea,VeryDenseForest,ModDenseForest,OpenForest,Total,PercentofGA,Change,Scrub,Unnamed: 9,growth,growthRate,population,year,Month,AverageSoilmoisture,AggregateSoilmoisture,VolumeSoilmoisture,ApproximateCalculation,LocationAge,Area,Height,Estimatedvolume,Type,waterSpread,maxDepth,storageCapacity,storageCapacityPresent
10117,2012,Odisha,3.857142857142857,16.314285714285713,102.3092857142857,33.7,28.0,"1,55,707",0,"1,089","1,098","1,125",28.669999999999998,107,129,,23142.0,0.0480819774653389,504445.0,1995.0,6.0,2.8646666666666665,21.814333333333334,38.35767415833333,3.0,3.0,5.0,5059.0,,Urban,0.2894666666666667,2.933333333333333,21466.433333333334,12269.9
14164,2012,Odisha,3.857142857142857,16.314285714285713,102.3092857142857,33.7,28.0,"1,55,707",0,"1,089","1,098","1,125",28.669999999999998,107,129,,23142.0,0.0480819774653389,504445.0,1995.0,6.0,2.8646666666666665,21.814333333333334,38.35767415833333,3.0,3.5,1.0,7082.0,,Urban,0.2894666666666667,2.933333333333333,21466.433333333334,12269.9
16187,2012,Odisha,3.857142857142857,16.314285714285713,102.3092857142857,33.7,28.0,"1,55,707",0,"1,089","1,098","1,125",28.669999999999998,107,129,,23142.0,0.0480819774653389,504445.0,1995.0,6.0,2.8646666666666665,21.814333333333334,38.35767415833333,20.0,2.0,2.0,8094.0,,Urban,0.2894666666666667,2.933333333333333,21466.433333333334,12269.9
20000,2012,Odisha,3.857142857142857,16.314285714285713,102.3092857142857,33.7,28.0,"1,55,707",0,"1,089","1,098","1,125",28.669999999999998,107,129,,23142.0,0.0480819774653389,504445.0,1995.0,6.0,2.8646666666666665,21.814333333333334,38.35767415833333,15.0,10.0,2.0,10000.0,,Urban,0.2894666666666667,2.933333333333333,21466.433333333334,12269.9
24281,2012,Odisha,3.857142857142857,16.314285714285713,102.3092857142857,33.7,28.0,"1,55,707",0,"1,089","1,098","1,125",28.669999999999998,107,129,,23142.0,0.0480819774653389,504445.0,1995.0,6.0,2.8646666666666665,21.814333333333334,38.35767415833333,10.0,4.0,3.0,12141.0,,Urban,0.2894666666666667,2.933333333333333,21466.433333333334,12269.9
346763,2012,Odisha,3.857142857142857,16.314285714285713,102.3092857142857,33.7,28.0,"1,55,707",0,"1,089","1,098","1,125",28.669999999999998,107,129,,23142.0,0.0480819774653389,504445.0,1995.0,6.0,2.8646666666666665,21.814333333333334,38.35767415833333,3.0,0.5,4.0,8094.0,,Urban,0.2894666666666667,2.933333333333333,21466.433333333334,12269.9
44515,2012,Odisha,3.857142857142857,16.314285714285713,102.3092857142857,33.7,28.0,"1,55,707",0,"1,089","1,098","1,125",28.669999999999998,107,129,,23142.0,0.0480819774653389,504445.0,1995.0,6.0,2.8646666666666665,21.814333333333334,38.35767415833333,10.0,11.0,1.0,22258.0,,Urban,0.2894666666666667,2.933333333333333,21466.433333333334,12269.9
8094,2012,Odisha,3.857142857142857,16.314285714285713,102.3092857142857,33.7,28.0,"1,55,707",0,"1,089","1,098","1,125",28.669999999999998,107,129,,23142.0,0.0480819774653389,504445.0,1995.0,6.0,2.8646666666666665,21.814333333333334,38.35767415833333,3.0,2.0,1.0,4047.0,,Urban,0.2894666666666667,2.933333333333333,21466.433333333334,12269.9
Angul,2012,Odisha,5.0,22.0,151.0,33.7,28.0,"6,375",362,"1,350",990,"2,702",42.38,35,117,,23142.0,0.0480819774653389,504445.0,1995.0,6.0,2.8646666666666665,21.814333333333334,38.35767415833333,8.375,4.5,2.375,9596.875,,Urban,0.2894666666666667,2.933333333333333,21466.433333333334,12269.9
Anugul,2012,Odisha,3.857142857142857,16.314285714285713,102.3092857142857,33.7,28.0,"1,55,707",0,"1,089","1,098","1,125",28.669999999999998,107,129,,23142.0,0.0480819774653389,504445.0,1995.0,6.0,3.76,25.85,36.98557608,8.375,4.5,2.375,9596.875,,Urban,0.0,3.0,1000.0,500.0
Balangir,2012,Odisha,3.857142857142857,16.314285714285713,102.3092857142857,33.7,28.0,"1,55,707",0,"1,089","1,098","1,125",28.669999999999998,107,129,,23142.0,0.0480819774653389,504445.0,1995.0,6.0,0.41,2.79,36.50201196,8.375,4.5,2.375,9596.875,,Urban,0.0,5.0,5000.0,4000.0
Balasore,2012,Odisha,2.0,12.0,81.0,33.7,28.0,"1,55,707",0,"1,089","1,098","1,125",28.669999999999998,107,129,,23142.0,0.0480819774653389,504445.0,1995.0,6.0,2.8646666666666665,21.814333333333334,38.35767415833333,8.375,4.5,2.375,9596.875,,Urban,0.2,3.0,4500.0,2145.0
